Generation,Best,Average,Worst,Standard deviation
259.0,55116.96667729936,56674.43604404382,67964.98304487093,1695.1045056549176
260.0,54795.923901381066,56335.107351380684,67964.98304487093,1811.4467418347322
261.0,54565.06712777709,55878.75719320016,65165.875006798764,1681.8429962625612
262.0,54179.37512670998,55639.36093193244,66362.07023203094,1674.3966608344779
263.0,54075.35332061722,55298.60589262224,65654.72911597362,1740.1766422503129
264.0,53638.20719561201,55197.195686073006,67212.71817169194,1815.839008840687
265.0,53538.49108664944,54850.24175050977,67008.6297401869,1824.096903066097
266.0,53316.93894868217,54642.232339047485,64921.703742625104,1721.683738040112
267.0,53117.05651771607,54434.51309744918,62825.270536075746,1715.5484626104055
268.0,52915.13883674118,54209.526420148104,64072.25050599526,1753.4470498072267
269.0,52738.42039069122,53982.810386049074,65562.72970138359,1757.1260230999728
270.0,52574.130909494226,53798.82515089556,62855.93120484963,1650.0149358621422
271.0,52424.94775852907,53680.53282034032,64294.92383289134,1744.334541035619
272.0,52288.38600802574,53523.507174046135,66602.70004212762,1721.6479357280393
273.0,51768.70143394341,53305.458496299296,63424.7561144251,1601.976035348966
274.0,51614.16247568717,52951.8293411788,63424.7561144251,1748.5843357766662
275.0,51202.693017113896,52696.929781399784,62300.94135404613,1679.9626441911635
276.0,51075.79095413257,52387.07410072611,60738.79898568645,1746.0088428188478
277.0,50837.470065316746,52167.49065963233,63765.71001440026,1719.61171674743
278.0,50689.4107023623,51963.382272577546,63765.71001440026,1822.589424077456
279.0,50519.43103928895,51694.08723300455,62025.66763952341,1715.5245359286287
280.0,50118.64719275807,51635.788538070214,60600.115584221174,1723.4093306142413
281.0,49967.34935872623,51224.726288204176,61647.144708722466,1715.8073488637287
282.0,49436.85005776497,50979.168497778104,61647.144708722466,1642.3373393278314
283.0,49248.472856358916,50569.277129923226,58842.29654280158,1691.303309070026
284.0,48874.876362577736,50340.46363254235,61480.764320486116,1674.3277679000655
285.0,48793.7996864772,50039.68810681405,60000.123202846786,1777.5264147601158
286.0,48545.434059751045,49859.54484949808,60776.42349539551,1717.5488301720072
287.0,48348.025951388976,49680.01438822766,59164.027612897684,1686.3969270968576
288.0,48115.951740581295,49373.93775525217,58030.48270367477,1666.7978232952748
289.0,47880.5926814581,49167.979602197825,61751.93633948671,1715.615509315275
290.0,47587.63022369564,48947.93318690363,59244.923870506434,1695.1461799142382
291.0,47300.35165761078,48661.008203302634,62827.055965688836,1737.6588591793484
292.0,47163.53474187865,48448.30410754326,59244.923870506434,1739.443564829511
293.0,47059.023139308665,48240.288091923576,56780.436837341054,1703.2213520710786
294.0,46752.27069207802,48093.374288855266,58297.21197864754,1704.2700048290735
295.0,46693.84610630172,47901.493235498485,61148.342082293726,1800.1241856570753
296.0,46409.85035207105,47772.71089084893,62106.94390433912,1714.9801744556426
297.0,46305.162231900606,47548.67687462747,55940.895858477445,1694.1106897048112
298.0,45799.077147758224,47434.95292982759,56830.903106887694,1723.573006764158
299.0,45567.88365090209,46974.29294618492,57375.63635228822,1747.9583529749589
300.0,45450.195204675336,46739.79253272399,58782.99499111517,1821.91492521607
301.0,45323.88453726515,46536.96771574513,56459.658380934234,1743.9639538488277
302.0,45138.43838786046,46425.59163454048,56455.9038712967,1790.5485770391144
303.0,44841.11237408694,46172.73549223434,55028.5067127254,1701.2424921826985
304.0,44745.86849690687,45918.429171119074,55811.59094637023,1678.0974515730534
305.0,44591.35727695434,45790.40262195906,55811.59094637023,1649.6077360930246
306.0,44425.054144846144,45669.07080410568,56225.361835993695,1745.2762777447915
307.0,44287.242556792626,45375.72063788848,57310.584829662665,1660.2764679351644
308.0,44033.70918730826,45306.630850006986,53865.275240828145,1596.14678935313
